rank	word	occurrences	heuristic_group
37522	Анелев	1	initial_upper
37523	Анель	1	initial_upper
37524	Анемон	1	initial_upper
37525	Анер	1	initial_upper
37526	Анерҙың	1	initial_upper
37527	АнестезиологТаКеше	1	initial_upper
37528	Анета	1	initial_upper
37529	Анечка	1	initial_upper
37530	Анечканың	1	initial_upper
37531	Анжуйский	1	initial_upper
37532	Анжуйскийға	1	initial_upper
37533	Анивский	1	initial_upper
37534	Аникей	1	initial_upper
37535	Анил	1	initial_upper
37536	Анимэ	1	initial_upper
37537	Анир	1	initial_upper
37538	Анисичкин	1	initial_upper
37539	Анкарстрем	1	initial_upper
37540	Анкарстремға	1	initial_upper
37541	Анкастың	1	initial_upper
37542	Анкимар	1	initial_upper
37543	Анкона	1	initial_upper
37544	Анконда	1	initial_upper
37545	Анкудинович	1	initial_upper
37546	Анлайым	1	initial_upper
37547	Анлайһыңмы	1	initial_upper
37548	Анлантик	1	initial_upper
37549	Анлашылдымы	1	initial_upper
37550	Анн	1	initial_upper
37551	Анна-Дорис	1	initial_upper
37552	Аннаклыч	1	initial_upper
37553	Аннализа	1	initial_upper
37554	Анненкова-Бернарҙың	1	initial_upper
37555	Аннеси	1	initial_upper
37556	Аннеттың	1	initial_upper
37557	Аннетҡа	1	initial_upper
37558	Аннинск	1	initial_upper
37559	Анновкаға	1	initial_upper
37560	Анной	1	initial_upper
37561	Аннотированный	1	initial_upper
37562	Анны	1	initial_upper
37563	Аносовский	1	initial_upper
37564	Анруй	1	initial_upper
37565	Анс-о-Медоу	1	initial_upper
37566	Ансариҙың	1	initial_upper
37567	Ансельм	1	initial_upper
37568	Анси	1	initial_upper
37569	Ансоатеги	1	initial_upper
37570	Ансор	1	initial_upper
37571	Антальела	1	initial_upper
37572	Антальх	1	initial_upper
37573	Антанелли	1	initial_upper
37574	Антарк-тидала	1	initial_upper
37575	Антарованың	1	initial_upper
37576	Антейҙы	1	initial_upper
37577	Антеклиза	1	initial_upper
37578	Антекҡа	1	initial_upper
37579	Антеридийы	1	initial_upper
37580	Антеридияларының	1	initial_upper
37581	АнтиПАЛыч	1	initial_upper
37582	Антивоенная	1	initial_upper
37583	Антигипертензия	1	initial_upper
37584	Антиглобализм	1	initial_upper
37585	Антикризис	1	initial_upper
37586	Антиохтар	1	initial_upper
37587	Антипатийҙар	1	initial_upper
37588	Антирабиес	1	initial_upper
37589	Антирелигиозник	1	initial_upper
37590	Антиферромагнетиктарҙың	1	initial_upper
37591	Анто	1	initial_upper
37592	Антонен	1	initial_upper
37593	Антони	1	initial_upper
37594	Антониацциҙың	1	initial_upper
37595	Антониу	1	initial_upper
37596	Антоново	1	initial_upper
37597	Антоновские	1	initial_upper
37598	Антошенков	1	initial_upper
37599	Антошкинола	1	initial_upper
37600	Антракноз	1	initial_upper
37601	Антре	1	initial_upper
37602	Антропонимик	1	initial_upper
37603	Антропоцентризм	1	initial_upper
37604	Антрэ	1	initial_upper
37605	Анттонен	1	initial_upper
37606	Антуанетта	1	initial_upper
37607	Антуанеттаны	1	initial_upper
37608	Антхольцтағы	1	initial_upper
37609	Антым-шантым	1	initial_upper
37610	Антышевтың	1	initial_upper
37611	Антюх	1	initial_upper
37612	Анучкин	1	initial_upper
37613	Анушаванович	1	initial_upper
37614	Анушкин	1	initial_upper
37615	Анфар	1	initial_upper
37616	Анфилға	1	initial_upper
37617	Анфима	1	initial_upper
37618	Анфис	1	initial_upper
37619	Анхальт-Цербст	1	initial_upper
37620	Анхра-Майнью	1	initial_upper
37621	Анцинов	1	initial_upper
37622	Анчина	1	initial_upper
37623	Анчиполовскийҙың	1	initial_upper
37624	Анчиғол	1	initial_upper
37625	Анчугин	1	initial_upper
37626	Аншель	1	initial_upper
37627	Аншеф	1	initial_upper
37628	Аныһы	1	initial_upper
37629	Ань	1	initial_upper
37630	Анютиндар	1	initial_upper
37631	Анҡарала	1	initial_upper
37632	Анһальт	1	initial_upper
37633	Ап-аяҙ	1	initial_upper
37634	Апа-а-й	1	initial_upper
37635	Апай-й	1	initial_upper
37636	Апайындың	1	initial_upper
37637	Апанаев	1	initial_upper
37638	Апаҡ	1	initial_upper
37639	Апексеевичтың	1	initial_upper
37640	Аперация	1	initial_upper
37641	Апилюр	1	initial_upper
37642	Апимондияны	1	initial_upper
37643	Апимондияға	1	initial_upper
37644	Аплалай	1	initial_upper
37645	Апокиндың	1	initial_upper
37646	Аполитичностҡа	1	initial_upper
37647	Аполло	1	initial_upper
37648	Аполлоний	1	initial_upper
37649	Апологетик	1	initial_upper
37650	Апотециялары	1	initial_upper
37651	Апотецияларҙағы	1	initial_upper
37652	Апотецияның	1	initial_upper
37653	Апофегей	1	initial_upper
37654	Аппаковтың	1	initial_upper
37655	Аппаратная	1	initial_upper
37656	Апраксип	1	initial_upper
37657	Апрельдә	1	initial_upper
37658	Апрельские	1	initial_upper
37659	Апри	1	initial_upper
37660	Апришкин	1	initial_upper
37661	Апродов	1	initial_upper
37662	Апрыҡул	1	initial_upper
37663	Апсны	1	initial_upper
37664	Апсныпресс	1	initial_upper
37665	Аптекман	1	initial_upper
37666	Аптрахман	1	initial_upper
37667	Аптрахмановҡа	1	initial_upper
37668	Аптраҡов	1	initial_upper
37669	Аптриевтың	1	initial_upper
37670	Аптукаева	1	initial_upper
37671	Аптырахманов	1	initial_upper
37672	Апурва	1	initial_upper
37673	Апушкин	1	initial_upper
37674	Апуштың	1	initial_upper
37675	Апшерон	1	initial_upper
37676	Ар-раҡы	1	initial_upper
37677	АрНК	1	initial_upper
37678	Арабат	1	initial_upper
37679	Араби	1	initial_upper
37680	Арабиканан	1	initial_upper
37681	Арабка	1	initial_upper
37682	Арабова	1	initial_upper
37683	Арадый	1	initial_upper
37684	Араины	1	initial_upper
37685	Аракы	1	initial_upper
37686	Аракүлдә	1	initial_upper
37687	Аралсор	1	initial_upper
37688	Арамаш	1	initial_upper
37689	Арамашевоға	1	initial_upper
37690	Арамей	1	initial_upper
37691	Арамелев	1	initial_upper
37692	Арамелевка	1	initial_upper
37693	Арамелевский	1	initial_upper
37694	Арамнов	1	initial_upper
37695	Аранович	1	initial_upper
37696	Аранташ	1	initial_upper
37697	Арантис	1	initial_upper
37698	Аранхуэс	1	initial_upper
37699	Аранцев	1	initial_upper
37700	Аранцева	1	initial_upper
37701	Арап	1	initial_upper
37702	Аратабан	1	initial_upper
37703	Араукан	1	initial_upper
37704	Арауканлылар	1	initial_upper
37705	Арауканлыны	1	initial_upper
37706	Арахмангул	1	initial_upper
37707	АрбатИнвест	1	initial_upper
37708	Арбатова	1	initial_upper
37709	Арбатскаяның	1	initial_upper
37710	Арборские	1	initial_upper
37711	Арва	1	initial_upper
37712	Арган	1	initial_upper
37713	Аргентинан	1	initial_upper
37714	Аргир	1	initial_upper
37715	Аргыҙма	1	initial_upper
37716	Ард	1	initial_upper
37717	Ардавичус	1	initial_upper
37718	Ардальоновка	1	initial_upper
37719	Ардашова	1	initial_upper
37720	Ардеатина	1	initial_upper
37721	Арджаникова	1	initial_upper
37722	Ардиев	1	initial_upper
37723	Ардис	1	initial_upper
37724	Ардо	1	initial_upper
37725	Ардрон	1	initial_upper
37726	Ардыуанулы	1	initial_upper
37727	Арели	1	initial_upper
37728	Арепливир	1	initial_upper
37729	Аржавитина	1	initial_upper
37730	Арзамасе	1	initial_upper
37731	Арзни	1	initial_upper
37732	Арианна	1	initial_upper
37733	Арианофф	1	initial_upper
37734	Ариведерчи	1	initial_upper
37735	Ариев	1	initial_upper
37736	Ариель	1	initial_upper
37737	Ариз	1	initial_upper
37738	Аризонан	1	initial_upper
37739	Арика	1	initial_upper
37740	Аримасптар	1	initial_upper
37741	Арион	1	initial_upper
37742	Ариох	1	initial_upper
37743	Ариохҡа	1	initial_upper
37744	Ариран	1	initial_upper
37745	Арис-ТВ	1	initial_upper
37746	Аристей	1	initial_upper
37747	Аристид	1	initial_upper
37748	Аристон	1	initial_upper
37749	Арифметикой	1	initial_upper
37750	Аришка-Бурлак	1	initial_upper
37751	Ариэлла	1	initial_upper
37752	Ариэль	1	initial_upper
37753	Аркадия	1	initial_upper
37754	Аркадиялағы	1	initial_upper
37755	Аркадьевня	1	initial_upper
37756	Аркаим-Финанс	1	initial_upper
37757	Аркаул	1	initial_upper
37758	Аркоз	1	initial_upper
37759	Аркола	1	initial_upper
37760	Арколь	1	initial_upper
37761	Арлай	1	initial_upper
37762	Арлана	1	initial_upper
37763	Арлезианка	1	initial_upper
37764	Арлекинада	1	initial_upper
37765	Армагедон	1	initial_upper
37766	Армас	1	initial_upper
37767	Армат	1	initial_upper
37768	Армейский	1	initial_upper
37769	Арменак	1	initial_upper
37770	Армигаль	1	initial_upper
37771	Армиданан	1	initial_upper
37772	Армией	1	initial_upper
37773	Армизонов	1	initial_upper
37774	Армосет	1	initial_upper
37775	Армотекс	1	initial_upper
37776	Армут	1	initial_upper
37777	Армхи	1	initial_upper
37778	Арнольдов	1	initial_upper
37779	Арнтгольц	1	initial_upper
37780	Ароди	1	initial_upper
37781	Ароматное	1	initial_upper
37782	Ароморфоздан	1	initial_upper
37783	Аронзон	1	initial_upper
37784	Арпахшадтың	1	initial_upper
37785	Арпахшадҡа	1	initial_upper
37786	Арпин	1	initial_upper
37787	Арпишкин	1	initial_upper
37788	Арран	1	initial_upper
37789	Арриан	1	initial_upper
37790	Арррмия	1	initial_upper
37791	Арсалдың	1	initial_upper
37792	Арсенев	1	initial_upper
37793	Арскийташы	1	initial_upper
37794	Арсланыч	1	initial_upper
37795	Арт-данс	1	initial_upper
37796	Арт-оснастка	1	initial_upper
37797	АртЛинк	1	initial_upper
37798	АртПлюс	1	initial_upper
37799	Артабандараҡ	1	initial_upper
37800	Артавазд	1	initial_upper
37801	Артбанғы	1	initial_upper
37802	Артвин	1	initial_upper
37803	Артеко	1	initial_upper
37804	Артекҡа	1	initial_upper
37805	Артемыч	1	initial_upper
37806	Артемьевск	1	initial_upper
37807	Артерии	1	initial_upper
37808	Артир	1	initial_upper
37809	Артко	1	initial_upper
37810	Артлекс	1	initial_upper
37811	Артмаҡланған	1	initial_upper
37812	Артналеттан	1	initial_upper
37813	Артпарад	1	initial_upper
37814	Артстудия	1	initial_upper
37815	Арттырыңҡырап	1	initial_upper
37816	Артунян	1	initial_upper
37817	Артур-Эбука	1	initial_upper
37818	Артыковтар	1	initial_upper
37819	Артыновтан	1	initial_upper
37820	Артырып	1	initial_upper
37821	Аруз	1	initial_upper
37822	Арунас	1	initial_upper
37823	Арушанян	1	initial_upper
37824	Арфведсон	1	initial_upper
37825	Арх	1	initial_upper
37826	Арх-Латыш-Сәйетбаба	1	initial_upper
37827	Архаз	1	initial_upper
37828	Архаизацияның	1	initial_upper
37829	Архан	1	initial_upper
37830	Архангел-Пашийский	1	initial_upper
37831	Архангела	1	initial_upper
37832	Архангелдәге	1	initial_upper
37833	Архангелдәр	1	initial_upper
37834	Архангелогород	1	initial_upper
37835	Архангелоград	1	initial_upper
37836	Архангельскгеолдобыча	1	initial_upper
37837	Архангельский-Иглинский	1	initial_upper
37838	Архангельскийгә	1	initial_upper
37839	Архангельскиҙағы	1	initial_upper
37840	Архангельского	1	initial_upper
37841	Архангельскта	1	initial_upper
37842	Архангельсктан	1	initial_upper
37843	Арханцев	1	initial_upper
37844	Архатово	1	initial_upper
37845	Архей	1	initial_upper
37846	Архео	1	initial_upper
37847	Археологические	1	initial_upper
37848	Архзащита	1	initial_upper
37849	Архиереев	1	initial_upper
37850	Архиерий	1	initial_upper
37851	Архимеда	1	initial_upper
37852	Архипцев	1	initial_upper
37853	Архирей	1	initial_upper
37854	Архитекту	1	initial_upper
37855	Архитекура	1	initial_upper
37856	Архстройизыскания	1	initial_upper
37857	Архызда	1	initial_upper
37858	Арцыз	1	initial_upper
37859	Арчаков	1	initial_upper
37860	Арчалағы	1	initial_upper
37861	Арчаға	1	initial_upper
37862	Арчи	1	initial_upper
37863	Арчимбольди	1	initial_upper
37864	Арчитекс	1	initial_upper
37865	Арчу	1	initial_upper
37866	Аршакян	1	initial_upper
37867	Аршат	1	initial_upper
37868	Аршеневскийҙан	1	initial_upper
37869	Аршеневскийҙың	1	initial_upper
37870	Аршинскийҙың	1	initial_upper
37871	Арыевтар	1	initial_upper
37872	Арынов	1	initial_upper
37873	Арынч	1	initial_upper
37874	Арынғол	1	initial_upper
37875	Арыраҡта	1	initial_upper
37876	Арыстанова	1	initial_upper
37877	Арыҡбаев	1	initial_upper
37878	Арыҡлағанһың	1	initial_upper
37879	Арыҫланун	1	initial_upper
37880	Арыҫланғәли	1	initial_upper
37881	Арыҫланҡошто	1	initial_upper
37882	Арюна	1	initial_upper
37883	Арғашлы	1	initial_upper
37884	Арғаҙы	1	initial_upper
37885	Арғынбәк	1	initial_upper
37886	Арҙагүл	1	initial_upper
37887	Арҙаширулы	1	initial_upper
37888	Арҡайым-продакшн	1	initial_upper
37889	Арҡалын	1	initial_upper
37890	Арҡаҙаҡ	1	initial_upper
37891	Арҫланов	1	initial_upper
37892	Асадты	1	initial_upper
37893	Асаинов	1	initial_upper
37894	Асанайҙар	1	initial_upper
37895	Асанайҙың	1	initial_upper
37896	Асаналиев	1	initial_upper
37897	Асанат	1	initial_upper
37898	Асаревичи	1	initial_upper
37899	Асатайҙан	1	initial_upper
37900	Асатуров	1	initial_upper
37901	Асауҙыбаш	1	initial_upper
37902	Асаҙы	1	initial_upper
37903	Асгедом	1	initial_upper
37904	Асе	1	initial_upper
37905	Асена	1	initial_upper
37906	Асенкова	1	initial_upper
37907	Асерьянц	1	initial_upper
37908	Асибар	1	initial_upper
37909	Асинхрон	1	initial_upper
37910	Асинхронлаштырылған	1	initial_upper
37911	Аскад	1	initial_upper
37912	Аскаков	1	initial_upper
37913	Асканий	1	initial_upper
37914	Аскания	1	initial_upper
37915	АскарФильм	1	initial_upper
37916	Аскаридоз	1	initial_upper
37917	Аскарфильм	1	initial_upper
37918	Аскер-Заде	1	initial_upper
37919	Аскеровтан	1	initial_upper
37920	Аскин	1	initial_upper
37921	Аскинзи	1	initial_upper
37922	Асколь	1	initial_upper
37923	Аскольдова	1	initial_upper
37924	Аскосферозды	1	initial_upper
37925	Аскоцин	1	initial_upper
37926	Аскочинский	1	initial_upper
37927	Асланбек	1	initial_upper
37928	Аслиддин	1	initial_upper
37929	Аслыкуль	1	initial_upper
37930	Аслыҡйыл	1	initial_upper
37931	Асмоловтың	1	initial_upper
37932	Аснаттан	1	initial_upper
37933	Асоев	1	initial_upper
37934	Аспенес	1	initial_upper
37935	Аспергилдар	1	initial_upper
37936	Асписов	1	initial_upper
37937	Аспромонтены	1	initial_upper
37938	Ассенда	1	initial_upper
37939	Ассоциациялаштырылған	1	initial_upper
37940	Ассоциациға	1	initial_upper
37941	Ассошиэйтед-пресс	1	initial_upper
37942	Астальцев	1	initial_upper
37943	Астанғәлин	1	initial_upper
37944	Астарта	1	initial_upper
37945	Астауров	1	initial_upper
37946	Асташёв	1	initial_upper
37947	Астила	1	initial_upper
37948	АстраЗенека	1	initial_upper
37949	Астраком	1	initial_upper
37950	Астраль	1	initial_upper
37951	Астраль-соляр	1	initial_upper
37952	Астрахандағы	1	initial_upper
37953	Астрахани	1	initial_upper
37954	Астров	1	initial_upper
37955	Астронаваттың	1	initial_upper
37956	Астронавттарға	1	initial_upper
37957	Астрононавттың	1	initial_upper
37958	Астурии	1	initial_upper
37959	Асунсиондан	1	initial_upper
37960	Асухановтың	1	initial_upper
37961	Асфаган	1	initial_upper
37962	Асфаганова	1	initial_upper
37963	Асхабад	1	initial_upper
37964	Асхар	1	initial_upper
37965	Асхатик	1	initial_upper
37966	Асхатикты	1	initial_upper
37967	Асык	1	initial_upper
37968	Асылязыджи	1	initial_upper
37969	Асыръанышлы	1	initial_upper
37970	АсҡарАбдразаҡов	1	initial_upper
37971	АсҡарФильм	1	initial_upper
37972	Асҡарйән	1	initial_upper
37973	Асҡынбаев	1	initial_upper
37974	Ата-əсəгеҙҙе	1	initial_upper
37975	Ата-əсəйҙəр	1	initial_upper
37976	Ата-а-й	1	initial_upper
37977	Ата-йы-ым	1	initial_upper
37978	Атабай	1	initial_upper
37979	Атабәктәре	1	initial_upper
37980	Атадтағы	1	initial_upper
37981	Атадҡа	1	initial_upper
37982	Атаевка	1	initial_upper
37983	Атаевтар	1	initial_upper
37984	Атаевҡа	1	initial_upper
37985	Атаи	1	initial_upper
37986	Атаййай	1	initial_upper
37987	Атакен-Сай	1	initial_upper
37988	Атакент-Экспо	1	initial_upper
37989	Аталану	1	initial_upper
37990	Атамань	1	initial_upper
37991	Атаморатов	1	initial_upper
37992	Атамуратов	1	initial_upper
37993	Атамыш	1	initial_upper
37994	Атасу	1	initial_upper
37995	Атауллиндың	1	initial_upper
37996	Атаякова	1	initial_upper
37997	Атаяҡов	1	initial_upper
37998	Атаҡайҙарым	1	initial_upper
37999	Атаһы-ы	1	initial_upper
38000	Атбалфф	1	initial_upper
38001	Атбаҫар	1	initial_upper
38002	Ателстанға	1	initial_upper
38003	Атемасов	1	initial_upper
38004	Атенциони	1	initial_upper
38005	Атиар	1	initial_upper
38006	Атикеев	1	initial_upper
38007	Атиль	1	initial_upper
38008	Атинов	1	initial_upper
38009	Атитәров	1	initial_upper
38010	Аткүсте	1	initial_upper
38011	Атлант-Союз	1	initial_upper
38012	Атлантала	1	initial_upper
38013	Атлантов	1	initial_upper
38014	Атлантроптар	1	initial_upper
38015	Атлонда	1	initial_upper
38016	Атмакиндың	1	initial_upper
38017	Атман	1	initial_upper
38018	Атмасоваға	1	initial_upper
38019	Атмырҙаев	1	initial_upper
38020	Атмәмбәт	1	initial_upper
38021	Атнабаевтан	1	initial_upper
38022	Атнабаевтар	1	initial_upper
38023	Атнабев	1	initial_upper
38024	Атнакаев	1	initial_upper
38025	Атолдар	1	initial_upper
38026	Атолл	1	initial_upper
38027	Атомный	1	initial_upper
38028	Атомспецтранс	1	initial_upper
38029	Атраш	1	initial_upper
38030	Атрей	1	initial_upper
38031	Атсе	1	initial_upper
38032	Атседе	1	initial_upper
38033	Аттарҡайҙа	1	initial_upper
38034	Аттенборо	1	initial_upper
38035	Аттиланы	1	initial_upper
38036	Атун	1	initial_upper
38037	Атыгеш	1	initial_upper
38038	Атыев	1	initial_upper
38039	Атюшов	1	initial_upper
38040	Атҡынайы	1	initial_upper
38041	Аугсбургтағы	1	initial_upper
38042	Аугуст	1	initial_upper
38043	Аудиореклама	1	initial_upper
38044	Аудис	1	initial_upper
38045	Ауезов	1	initial_upper
38046	Аукут	1	initial_upper
38047	Аулаҡһәм	1	initial_upper
38048	Аулда	1	initial_upper
38049	Аулға	1	initial_upper
38050	Аурангзеб	1	initial_upper
38051	Аургаза	1	initial_upper
38052	АургазыМолпродукт	1	initial_upper
38053	Аурит	1	initial_upper
38054	Аурони	1	initial_upper
38055	Аурупа	1	initial_upper
38056	Аурус	1	initial_upper
38057	Аурғазы	1	initial_upper
38058	Аусайдерҙарға	1	initial_upper
38059	Аусвайсты	1	initial_upper
38060	Аутокопрофагия	1	initial_upper
38061	Аутсорсингка	1	initial_upper
38062	Ауф-ауф-дэр-зайн	1	initial_upper
38063	Ауфвидерзеен	1	initial_upper
38064	Аушаңлап	1	initial_upper
38065	Аушвиц	1	initial_upper
38066	Ауыл-да-ан	1	initial_upper
38067	Ауырыган	1	initial_upper
38068	Ауырғаҙы	1	initial_upper
38069	Ауырһыҙлыҡ	1	initial_upper
38070	Ауэнбруггер	1	initial_upper
38071	Ауэр	1	initial_upper
38072	Аф	1	initial_upper
38073	Аф-рикаға	1	initial_upper
38074	Афа	1	initial_upper
38075	Афанасьевское	1	initial_upper
38076	Афансьевич	1	initial_upper
38077	Афари-ин	1	initial_upper
38078	Афариндан	1	initial_upper
38079	Афиногеновтың	1	initial_upper
38080	Афиногеновҡа	1	initial_upper
38081	Афият	1	initial_upper
38082	Афонька	1	initial_upper
38083	Афоня	1	initial_upper
38084	Африкага	1	initial_upper
38085	Африкалатаралған	1	initial_upper
38086	Афробашҡорт	1	initial_upper
38087	Афродит	1	initial_upper
38088	Афтандил	1	initial_upper
38089	Афьон-Карахисар	1	initial_upper
38090	Афғал	1	initial_upper
38091	Ах-ма	1	initial_upper
38092	Ах-х	1	initial_upper
38093	Ахад	1	initial_upper
38094	Ахаимова	1	initial_upper
38095	Ахалкалаки	1	initial_upper
38096	Ахеронт	1	initial_upper
38097	Ахлы	1	initial_upper
38098	Ахлёстышев	1	initial_upper
38099	Ахмадов	1	initial_upper
38100	Ахмадхон	1	initial_upper
38101	Ахмеда	1	initial_upper
38102	Ахмельдинова	1	initial_upper
38103	Ахметченко	1	initial_upper
38104	Ахов	1	initial_upper
38105	Ахрамкова	1	initial_upper
38106	Ахры	1	initial_upper
38107	Ахрызаман	1	initial_upper
38108	Ахряпина	1	initial_upper
38109	Ахтачинск	1	initial_upper
38110	Ахтол	1	initial_upper
38111	Ахтунг	1	initial_upper
38112	Ахтырку	1	initial_upper
38113	Ахуззат	1	initial_upper
38114	Ахульго	1	initial_upper
38115	Ахундзаде	1	initial_upper
38116	Ахштыр	1	initial_upper
38117	Ацеталдәр	1	initial_upper
38118	Ацетаттар	1	initial_upper
38119	Ацетонитрилдә	1	initial_upper
38120	Ациклик	1	initial_upper
38121	Ацтек	1	initial_upper
38122	Ачей	1	initial_upper
38123	Ачепятки	1	initial_upper
38124	Ачкыстар	1	initial_upper
38125	Ачтан	1	initial_upper
38126	Аш-Шабаб	1	initial_upper
38127	Аш-Шабабҡа	1	initial_upper
38128	Аш-кадар	1	initial_upper
38129	Ашайыш	1	initial_upper
38130	Ашайһын	1	initial_upper
38131	Ашап-эскәндә	1	initial_upper
38132	Ашап-эскәндән	1	initial_upper
38133	Ашап-эстеләр	1	initial_upper
38134	Ашаштырабыҙ	1	initial_upper
38135	Ашағас-эскәс	1	initial_upper
38136	Ашбел	1	initial_upper
38137	Ашенвальдтан	1	initial_upper
38138	Ашик-Кериб	1	initial_upper
38139	Ашимбаев	1	initial_upper
38140	Ашина	1	initial_upper
38141	Ашиндар	1	initial_upper
38142	Ашипки	1	initial_upper
38143	Аширбаева	1	initial_upper
38144	Аширҙың	1	initial_upper
38145	Ашитка	1	initial_upper
38146	Ашитуей	1	initial_upper
38147	Ашкаҙар	1	initial_upper
38148	Ашкеназ	1	initial_upper
38149	Ашкрумов	1	initial_upper
38150	Ашналар	1	initial_upper
38151	Аштарот-Карнаимда	1	initial_upper
38152	Аштондың	1	initial_upper
38153	Ашурбой	1	initial_upper
38154	Ашшур	1	initial_upper
38155	Ашшурим	1	initial_upper
38156	Ашшурҙан	1	initial_upper
38157	Ашык	1	initial_upper
38158	Ашғабадҡа	1	initial_upper
38159	Ашҡаҙарскийҙың	1	initial_upper
38160	Аэробика-гранде	1	initial_upper
38161	Аэробика-перфоманс	1	initial_upper
38162	Аэрогеология	1	initial_upper
38163	Аэроглоуб	1	initial_upper
38164	Аэроквантум	1	initial_upper
38165	Аэромобиль	1	initial_upper
38166	Аэропортсыларға	1	initial_upper
38167	Аэросила	1	initial_upper
38168	Аэросити	1	initial_upper
38169	Аэрофондар	1	initial_upper
38170	Аэрофотоһүрәттәр	1	initial_upper
38171	Аэроходтың	1	initial_upper
38172	Аэрпорттарҙың	1	initial_upper
38173	Аюкаев	1	initial_upper
38174	Аюрведа	1	initial_upper
38175	Аюҡай	1	initial_upper
38176	Аякс	1	initial_upper
38177	Аяника	1	initial_upper
38178	Аяпов	1	initial_upper
38179	Аятыл	1	initial_upper
38180	Аяҙгөл	1	initial_upper
38181	Аяҡтамын	1	initial_upper
38182	Ағады	1	initial_upper
38183	Ағайымдарғамы	1	initial_upper
38184	Ағасларҙың	1	initial_upper
38185	Ағатотҡан	1	initial_upper
38186	Ағаҙарҙаҡ	1	initial_upper
38187	Ағиделдә	1	initial_upper
38188	Ағиҙел-Инвест-Строй	1	initial_upper
38189	Ағиҙел-ИнвестСтрой	1	initial_upper
38190	Ағиҙел-Нефтепродуктсервис	1	initial_upper
38191	Ағиҙел-компакт	1	initial_upper
38192	Ағиҙелтулҡындары	1	initial_upper
38193	Ағиҙель	1	initial_upper
38194	Аҙанова-Вафина	1	initial_upper
38195	Аҙауов	1	initial_upper
38196	Аҙнааевтар	1	initial_upper
38197	Аҙналиндар	1	initial_upper
38198	Аҙнасура	1	initial_upper
38199	Аҙнулла	1	initial_upper
38200	Аҙсәскә	1	initial_upper
38201	Аҙҙаҡҡы	1	initial_upper
38202	АҠШ-тыҡынан	1	initial_upper
38203	АҠШ-ғы	1	initial_upper
38204	АҠШтан	1	initial_upper
38205	АҠШҡа	1	initial_upper
38206	АҠЪЯЛ	1	all_upper
38207	Аҡ-Жуныс	1	initial_upper
38208	Аҡбаев	1	initial_upper
38209	Аҡбаевҡа	1	initial_upper
38210	Аҡбарыс	1	initial_upper
38211	Аҡбарыҫты	1	initial_upper
38212	Аҡбарҙың	1	initial_upper
38213	Аҡбирҙиев	1	initial_upper
38214	Аҡбурованы	1	initial_upper
38215	Аҡбҙат	1	initial_upper
38216	Аҡбүләковтар	1	initial_upper
38217	Аҡзират	1	initial_upper
38218	Аҡидел	1	initial_upper
38219	Аҡйегетевтың	1	initial_upper
38220	Аҡйодоҙом	1	initial_upper
38221	Аҡйондоз	1	initial_upper
38222	Аҡкучуков	1	initial_upper
38223	Аҡкүмәскә	1	initial_upper
38224	Аҡлимә	1	initial_upper
38225	Аҡлыш	1	initial_upper
38226	Аҡманат	1	initial_upper
38227	Аҡмуллаа	1	initial_upper
38228	Аҡмуллла	1	initial_upper
38229	Аҡмурзин	1	initial_upper
38230	Аҡмырҙинды	1	initial_upper
38231	Аҡмәсетте	1	initial_upper
38232	Аҡмөхәмәтованы	1	initial_upper
38233	Аҡпатыр	1	initial_upper
38234	Аҡрынайтылған	1	initial_upper
38235	Аҡсабирҙы	1	initial_upper
38236	Аҡсар	1	initial_upper
38237	Аҡсатөбәктә	1	initial_upper
38238	Аҡсулуҙы	1	initial_upper
38239	Аҡсулуҙың	1	initial_upper
38240	Аҡсуҡ	1	initial_upper
38241	Аҡсуҡтың	1	initial_upper
38242	Аҡтабын	1	initial_upper
38243	Аҡтора	1	initial_upper
38244	Аҡчуриндар	1	initial_upper
38245	Аҡчуриндарҙы	1	initial_upper
38246	Аҡшан-батыр	1	initial_upper
38247	Аҡшәһәр	1	initial_upper
38248	Аҡшәһәрҙә	1	initial_upper
38249	Аҡъялдан	1	initial_upper
38250	Аҡъялдың	1	initial_upper
38251	Аҡъялын	1	initial_upper
38252	Аҡыздым	1	initial_upper
38253	Аҡымат	1	initial_upper
38254	Аҡыматы	1	initial_upper
38255	Аҡьйегет	1	initial_upper
38256	Аҡьярҙағы	1	initial_upper
38257	Аҡяҡупта	1	initial_upper
38258	Аҡяҡуптың	1	initial_upper
38259	Аҡҡ	1	initial_upper
38260	Аҡҡалпағының	1	initial_upper
38261	Аҡҡалпағың	1	initial_upper
38262	Аҡҡолағы	1	initial_upper
38263	Аҡҡолағыңды	1	initial_upper
38264	Аҡҡолаҡ	1	initial_upper
38265	Аҡҡолаҡты	1	initial_upper
38266	Аҡҡорбанғолов	1	initial_upper
38267	Аҡҡошһәм	1	initial_upper
38268	Аҡҡурғаш	1	initial_upper
38269	Аҡҡусҡаровта	1	initial_upper
38270	Аҡҡүмәс	1	initial_upper
38271	Аҡһариндар	1	initial_upper
38272	Аҡһаҡов	1	initial_upper
38273	Аҡһаңҡырап	1	initial_upper
38274	Аҡһыукүҙ	1	initial_upper
38275	Аң-ланым	1	initial_upper
38276	Аңдрей	1	initial_upper
38277	Аңдышҡан	1	initial_upper
38278	Аңлайҙарҙыр	1	initial_upper
38279	Аңлатманамәлә	1	initial_upper
38280	Аңлатыуғынаһының	1	initial_upper
